time, lat, long, uncert, speed
Tue Jul 23 2019 13:31:54 GMT+1000 (Australian Eastern Standard Time), -33.81496574165298, 151.17119471331003, 32, 0.3004337549209595
Tue Jul 23 2019 13:31:55 GMT+1000 (Australian Eastern Standard Time), -33.814970505844016, 151.17118900523846, 32, 0.22848768532276154
Tue Jul 23 2019 13:31:56 GMT+1000 (Australian Eastern Standard Time), -33.814978077901316, 151.17119098653646, 32, 0.15317386388778687
Tue Jul 23 2019 13:31:57 GMT+1000 (Australian Eastern Standard Time), -33.81497670136037, 151.1711924013741, 16, 0.9860862493515015
Tue Jul 23 2019 13:31:58 GMT+1000 (Australian Eastern Standard Time), -33.81498059728795, 151.1711772726749, 16, 0.9860862493515015
Tue Jul 23 2019 13:31:59 GMT+1000 (Australian Eastern Standard Time), -33.81498228304009, 151.1711630550115, 16, 0.9860862493515015
Tue Jul 23 2019 13:32:00 GMT+1000 (Australian Eastern Standard Time), -33.814981147341555, 151.17115542436505, 16, 0.9518030881881714
Tue Jul 23 2019 13:32:01 GMT+1000 (Australian Eastern Standard Time), -33.81498605491015, 151.17116117771207, 16, 1.0151100158691406
Tue Jul 23 2019 13:32:02 GMT+1000 (Australian Eastern Standard Time), -33.81499568594511, 151.1711517011762, 32, 1.41826331615448
Tue Jul 23 2019 13:32:03 GMT+1000 (Australian Eastern Standard Time), -33.814995418554794, 151.17114330258056, 32, 1.3920224905014038
Tue Jul 23 2019 13:32:04 GMT+1000 (Australian Eastern Standard Time), -33.81499282767561, 151.17112912370516, 32, 1.3920224905014038
Tue Jul 23 2019 13:32:05 GMT+1000 (Australian Eastern Standard Time), -33.814986377456286, 151.17111169504022, 32, 1.3920224905014038
Tue Jul 23 2019 13:32:06 GMT+1000 (Australian Eastern Standard Time), -33.81498609063395, 151.17108634252818, 32, 1.0947843790054321
Tue Jul 23 2019 13:32:07 GMT+1000 (Australian Eastern Standard Time), -33.8149857603427, 151.17106951792718, 32, 1.0947843790054321
Tue Jul 23 2019 13:32:08 GMT+1000 (Australian Eastern Standard Time), -33.81498481569835, 151.17106069528617, 32, 0.2198801189661026
