time, accX, accY, accZ
Tue Jul 23 2019 13:31:09 GMT+1000 (AEST), -1.0691606788635253, -3.5357869392395016, -9.011326136016844
Tue Jul 23 2019 13:31:09 GMT+1000 (AEST), -1.2279261764526366, -3.5824738716125486, -9.047239160919188
Tue Jul 23 2019 13:31:09 GMT+1000 (AEST), -1.1828852577209472, -3.553444176483154, -8.990825784301757
Tue Jul 23 2019 13:31:09 GMT+1000 (AEST), -1.1833341705322264, -3.5658640975952145, -9.013570700073242
Tue Jul 23 2019 13:31:09 GMT+1000 (AEST), -1.1780968544006347, -3.4748844345092773, -9.081206896972656
Tue Jul 23 2019 13:31:09 GMT+1000 (AEST), -1.2006921325683593, -3.349188847351074, -9.21812530441284
Tue Jul 23 2019 13:31:09 GMT+1000 (AEST), -1.1924620643615722, -3.3677436179563403, -9.172485835266112
Tue Jul 23 2019 13:31:09 GMT+1000 (AEST), -1.1935096006531267, -3.4940380477905273, -9.0780645072937
Tue Jul 23 2019 13:31:09 GMT+1000 (AEST), -1.2434884872436522, -3.571251343591511, -8.91914937210083
Tue Jul 23 2019 13:31:09 GMT+1000 (AEST), -1.261594637298584, -3.5327944794252515, -8.615235398864746
Tue Jul 23 2019 13:31:09 GMT+1000 (AEST), -1.1097124694824219, -3.7734114540100094, -7.763797433471679
Tue Jul 23 2019 13:31:09 GMT+1000 (AEST), -1.1302128211975098, -3.8154596206665037, -8.659677767181396
Tue Jul 23 2019 13:31:09 GMT+1000 (AEST), -1.036839029516652, -3.7976530380800364, -9.057414517974854
Tue Jul 23 2019 13:31:09 GMT+1000 (AEST), -0.9286509689331054, -3.49867681350708, -8.578274910736084
Tue Jul 23 2019 13:31:09 GMT+1000 (AEST), -1.1484686819214374, -3.577086917877197, -9.015067076110839
Tue Jul 23 2019 13:31:09 GMT+1000 (AEST), -0.9867103591918944, -3.263296570532024, -9.11038622970581
Tue Jul 23 2019 13:31:10 GMT+1000 (AEST), -1.2479776884216816, -3.516334050750732, -9.211690887451171
Tue Jul 23 2019 13:31:10 GMT+1000 (AEST), -1.1153986984252928, -3.368342460632324, -9.57590881500244
Tue Jul 23 2019 13:31:10 GMT+1000 (AEST), -1.174056639099121, -3.353079132787883, -9.271545928955078
Tue Jul 23 2019 13:31:10 GMT+1000 (AEST), -1.0773907470703123, -3.511545355169475, -8.991573972320555
Tue Jul 23 2019 13:31:10 GMT+1000 (AEST), -1.0320505531311035, -3.4546836502626537, -9.101258335876464
Tue Jul 23 2019 13:31:10 GMT+1000 (AEST), -1.0027215827941893, -3.5761890922546384, -8.731952729797364
Tue Jul 23 2019 13:31:10 GMT+1000 (AEST), -1.032948378753662, -3.525162669372558, -8.690652751159668
Tue Jul 23 2019 13:31:10 GMT+1000 (AEST), -1.0619780738830567, -3.473687333679199, -8.930521829986573
Tue Jul 23 2019 13:31:10 GMT+1000 (AEST), -0.9817723182678222, -3.4289456901550293, -8.968230506134033
Tue Jul 23 2019 13:31:10 GMT+1000 (AEST), -1.0254664985656738, -3.423858011627197, -8.60565859222412
Tue Jul 23 2019 13:31:10 GMT+1000 (AEST), -0.8541314422607421, -3.4554315460205074, -9.398588254547118
Tue Jul 23 2019 13:31:10 GMT+1000 (AEST), -0.9681552963256835, -3.3209073402404785, -8.968679418945312
Tue Jul 23 2019 13:31:10 GMT+1000 (AEST), -0.7401075151305645, -3.3042975662231444, -9.178770614624023
Tue Jul 23 2019 13:31:10 GMT+1000 (AEST), -0.8120832025390118, -3.2887352554321287, -8.691101079449057
Tue Jul 23 2019 13:31:10 GMT+1000 (AEST), -0.544082400335744, -3.0515596534729004, -9.17323402328491
Tue Jul 23 2019 13:31:10 GMT+1000 (AEST), -0.6028898324828594, -3.5045126800537107, -8.927678715515135
Tue Jul 23 2019 13:31:10 GMT+1000 (AEST), -0.49021278991699213, -2.996941928100586, -9.188197783660888
Tue Jul 23 2019 13:31:10 GMT+1000 (AEST), -0.45295302658081055, -3.0865748527526855, -9.411906001281737
Tue Jul 23 2019 13:31:10 GMT+1000 (AEST), -0.349852717590332, -3.6975451889038085, -9.802310509490967
Tue Jul 23 2019 13:31:10 GMT+1000 (AEST), -0.5672761558532714, -4.18820689163208, -9.667935941314697
Tue Jul 23 2019 13:31:10 GMT+1000 (AEST), -1.209071801846288, -3.9781154036924242, -9.012972149658202
Tue Jul 23 2019 13:31:10 GMT+1000 (AEST), -1.0696096282074228, -3.7394437179565427, -9.028983373260498
Tue Jul 23 2019 13:31:10 GMT+1000 (AEST), -0.6105214050735347, -4.393360046386719, -9.481936399841308
Tue Jul 23 2019 13:31:10 GMT+1000 (AEST), -0.47195700225830073, -3.9641993988037107, -9.156025698852538
Tue Jul 23 2019 13:31:10 GMT+1000 (AEST), -0.42003275375366206, -3.1833906746461986, -9.118466660308837
Tue Jul 23 2019 13:31:10 GMT+1000 (AEST), -0.6084264603545889, -4.054430873870849, -9.048286624145508
Tue Jul 23 2019 13:31:10 GMT+1000 (AEST), 0.06404493094179779, -3.6638767280578612, -8.942343200683593
Tue Jul 23 2019 13:31:10 GMT+1000 (AEST), -0.8201636331420391, -4.7104421287536615, -9.709984107971191
Tue Jul 23 2019 13:31:11 GMT+1000 (AEST), 0.1539770212035626, -3.829974468231201, -8.39541775894165
Tue Jul 23 2019 13:31:11 GMT+1000 (AEST), -0.6235399679321796, -3.9770682327270506, -6.7290534034729
Tue Jul 23 2019 13:31:11 GMT+1000 (AEST), 0.4939538030762225, -4.176385520935058, -7.857320935821533
Tue Jul 23 2019 13:31:11 GMT+1000 (AEST), 0.4342482530456036, -1.4124293418884277, -9.651775080108642
Tue Jul 23 2019 13:31:11 GMT+1000 (AEST), 0.5351040710449219, -2.5828943862363696, -9.605088147735595
Tue Jul 23 2019 13:31:11 GMT+1000 (AEST), 0.5033808990478515, -1.6505027694702148, -8.69544115447998
Tue Jul 23 2019 13:31:11 GMT+1000 (AEST), 1.5394716674804687, -0.13108254089355467, -9.684396077728271
Tue Jul 23 2019 13:31:11 GMT+1000 (AEST), -0.5584475372314452, 1.925686468914896, -9.310002793121336
Tue Jul 23 2019 13:31:11 GMT+1000 (AEST), -0.05521627578735351, -0.8289923248291016, -9.007285920715331
Tue Jul 23 2019 13:31:11 GMT+1000 (AEST), -0.49305592265473674, 0.9674071083068847, -8.494028939819335
Tue Jul 23 2019 13:31:11 GMT+1000 (AEST), -0.3419219245910644, 1.3037923319609834, -8.847024047088622
Tue Jul 23 2019 13:31:11 GMT+1000 (AEST), -0.7776665902068838, 1.0630255005767568, -9.203011906433105
Tue Jul 23 2019 13:31:11 GMT+1000 (AEST), -0.34656069030761716, -0.4155436256408691, -10.488249285125733
Tue Jul 23 2019 13:31:11 GMT+1000 (AEST), -1.5969325621231458, 0.040701428222656245, -9.744251119232176
Tue Jul 23 2019 13:31:11 GMT+1000 (AEST), -1.4607622513702139, -1.3370119895935058, -15.76896032180786
Tue Jul 23 2019 13:31:11 GMT+1000 (AEST), -0.34551323164787606, 0.13587094421386717, -10.314968939971923
Tue Jul 23 2019 13:31:11 GMT+1000 (AEST), -0.4200327628868166, -1.3090297576904295, -10.005518375396727
Tue Jul 23 2019 13:31:11 GMT+1000 (AEST), -0.8702922669341787, -1.6298528532166032, -9.552266073608397
Tue Jul 23 2019 13:31:11 GMT+1000 (AEST), 0.22445640563964842, -1.534084713745117, -9.318083223724365
Tue Jul 23 2019 13:31:11 GMT+1000 (AEST), 0.3006219550865237, -1.813757395172119, -8.783876978302002
Tue Jul 23 2019 13:31:11 GMT+1000 (AEST), -1.298405451290868, -1.4224551344055683, -8.457218089294432
Tue Jul 23 2019 13:31:11 GMT+1000 (AEST), -1.2144587555816397, 0.26560674667358397, -9.999083958435058
Tue Jul 23 2019 13:31:11 GMT+1000 (AEST), 0.4261678955078125, 0.07870937957763671, -10.364199711608887
Tue Jul 23 2019 13:31:11 GMT+1000 (AEST), 0.20515322781987488, 0.21607669982910155, -9.375843338775635
Tue Jul 23 2019 13:31:11 GMT+1000 (AEST), -0.6003460662841796, -0.1479915901184082, -10.462960530090331
Tue Jul 23 2019 13:31:11 GMT+1000 (AEST), -0.469862075805664, -0.1384147834777832, -8.96419029083252
Tue Jul 23 2019 13:31:11 GMT+1000 (AEST), -0.31483751831054685, 0.18121117468569425, -9.407416873168945
Tue Jul 23 2019 13:31:11 GMT+1000 (AEST), -1.6338928493224083, -0.4755482864822261, -9.6020953956604
Tue Jul 23 2019 13:31:11 GMT+1000 (AEST), -1.6543933471679686, -0.31693244476318355, -10.593594158172607
Tue Jul 23 2019 13:31:11 GMT+1000 (AEST), -2.232293626757711, -0.41105449752807616, -9.107992028045654
Tue Jul 23 2019 13:31:12 GMT+1000 (AEST), -1.969530140686035, -0.2991255516494624, -9.217526753997802
Tue Jul 23 2019 13:31:12 GMT+1000 (AEST), -1.7630301013670862, 0.4233247719032224, -5.965303073883057
Tue Jul 23 2019 13:31:12 GMT+1000 (AEST), -2.489371249212697, -0.8581716392959468, -11.464036099243163
Tue Jul 23 2019 13:31:12 GMT+1000 (AEST), 0.6027402679443359, 0.46791682348940516, -9.840318460845946
Tue Jul 23 2019 13:31:12 GMT+1000 (AEST), -1.0630254640441388, 0.607827946472168, -10.621426752471923
Tue Jul 23 2019 13:31:12 GMT+1000 (AEST), -1.267280866241455, 1.292868878218066, -9.158120625305175
Tue Jul 23 2019 13:31:12 GMT+1000 (AEST), -0.006883329772949218, 0.9576806754789431, -9.453505255126952
Tue Jul 23 2019 13:31:12 GMT+1000 (AEST), 0.42437224426269526, 0.03800795135498047, -10.096797313690185
Tue Jul 23 2019 13:31:12 GMT+1000 (AEST), -0.6144119279723614, -0.18106149598273913, -10.039336473846435
Tue Jul 23 2019 13:31:12 GMT+1000 (AEST), 0.3586813362121582, 0.8869020957504399, -9.948207173156737
Tue Jul 23 2019 13:31:12 GMT+1000 (AEST), 1.8994997421264648, 0.9307459319183602, -10.174010317230223
Tue Jul 23 2019 13:31:12 GMT+1000 (AEST), 1.0784382468292488, 1.9146131629390875, -10.903792910766601
Tue Jul 23 2019 13:31:12 GMT+1000 (AEST), 1.4915876342773438, 1.8607435844863764, -10.769418342590331
Tue Jul 23 2019 13:31:12 GMT+1000 (AEST), 0.43574470214843747, 1.3670891296829095, -10.567557215118407
Tue Jul 23 2019 13:31:12 GMT+1000 (AEST), 0.22819734573364256, 0.6558615807464346, -10.030807130432128
Tue Jul 23 2019 13:31:12 GMT+1000 (AEST), 0.5593453628540038, 0.36227263870239257, -8.8236805809021
Tue Jul 23 2019 13:31:12 GMT+1000 (AEST), -0.31797990798950193, -0.14499883804321287, -7.99917738418579
Tue Jul 23 2019 13:31:12 GMT+1000 (AEST), -1.0408791717529295, -0.24750059661865234, -6.9892731964111325
Tue Jul 23 2019 13:31:12 GMT+1000 (AEST), -14.642489025226235, -6.309319888394139, -15.990423975372314
Tue Jul 23 2019 13:31:12 GMT+1000 (AEST), -2.5086744270324703, -0.39863459468232465, -9.937882178497313
Tue Jul 23 2019 13:31:12 GMT+1000 (AEST), 0.46342751271352167, 1.0452185891967267, -9.51814869995117
Tue Jul 23 2019 13:31:12 GMT+1000 (AEST), -2.160467723083496, -0.21443068618774414, -7.466916427612304
Tue Jul 23 2019 13:31:12 GMT+1000 (AEST), -0.24166473007202147, -1.915959915072657, -9.038410542297363
Tue Jul 23 2019 13:31:12 GMT+1000 (AEST), 1.0209772973876445, -0.8228572013412602, -9.356390450286865
Tue Jul 23 2019 13:31:12 GMT+1000 (AEST), 0.5765536872863769, -0.1792658493041992, -10.689661499786377
Tue Jul 23 2019 13:31:12 GMT+1000 (AEST), -1.2508207298278808, 0.2668037744384259, -8.88084214553833
Tue Jul 23 2019 13:31:12 GMT+1000 (AEST), -1.741033519744873, -0.6319196006774902, -9.492411032104492
Tue Jul 23 2019 13:31:12 GMT+1000 (AEST), -1.3807061698913574, -0.649576984051615, -9.944466233062743
Tue Jul 23 2019 13:31:12 GMT+1000 (AEST), -1.3527239379882812, -0.6141128719605505, -9.72973627166748
Tue Jul 23 2019 13:31:12 GMT+1000 (AEST), -1.521365517425537, -0.6871358764648438, -9.252541953277587
Tue Jul 23 2019 13:31:13 GMT+1000 (AEST), -1.2761094848632812, -1.112106671142578, -9.427318674468994
Tue Jul 23 2019 13:31:13 GMT+1000 (AEST), -0.8233061689514666, -1.515679288482666, -9.678260935974121
Tue Jul 23 2019 13:31:13 GMT+1000 (AEST), -0.6631938598632812, -1.8366518024168907, -9.689334118652344
Tue Jul 23 2019 13:31:13 GMT+1000 (AEST), -0.6272807618957013, -1.8860325039185581, -9.558999765777587
Tue Jul 23 2019 13:31:13 GMT+1000 (AEST), -0.42766427154541015, -1.9150620529174804, -9.489717555236815
Tue Jul 23 2019 13:31:13 GMT+1000 (AEST), -0.2946364418029785, -1.9795557140074669, -9.53894832687378
Tue Jul 23 2019 13:31:13 GMT+1000 (AEST), -0.196773522009328, -1.8549075900755823, -9.441534246826171
Tue Jul 23 2019 13:31:13 GMT+1000 (AEST), -0.27877485580444333, -2.0663456703186034, -9.605836335754393
Tue Jul 23 2019 13:31:13 GMT+1000 (AEST), -0.2702455123901367, -2.0712837112426756, -9.61421604156494
Tue Jul 23 2019 13:31:13 GMT+1000 (AEST), -0.3916016821045428, -1.9973627349853516, -9.641898998260498
Tue Jul 23 2019 13:31:13 GMT+1000 (AEST), -0.4471171600341797, -1.9431937762938438, -9.63441711807251
Tue Jul 23 2019 13:31:13 GMT+1000 (AEST), -0.40447044296264645, -1.8754080879211426, -9.539546877288817
Tue Jul 23 2019 13:31:13 GMT+1000 (AEST), -0.3408744613647461, -1.809268267059326, -9.586832360076905
Tue Jul 23 2019 13:31:13 GMT+1000 (AEST), -0.42182840499877927, -1.729212002917379, -9.435548742675781
Tue Jul 23 2019 13:31:13 GMT+1000 (AEST), -0.538845011138916, -1.8861818492613731, -9.236830004882812
Tue Jul 23 2019 13:31:13 GMT+1000 (AEST), -0.5427355888366698, -1.955314422198385, -9.263914411163329
Tue Jul 23 2019 13:31:13 GMT+1000 (AEST), -0.5014356101989745, -1.8944120635986328, -9.412055638885498
Tue Jul 23 2019 13:31:13 GMT+1000 (AEST), -0.6070798315186053, -1.8638861385621128, -9.249998114013671
Tue Jul 23 2019 13:31:13 GMT+1000 (AEST), -0.6777086343627423, -1.9186533554077148, -9.20585502090454
Tue Jul 23 2019 13:31:13 GMT+1000 (AEST), -0.6548141540527344, -1.88498504069224, -9.3715038482666
Tue Jul 23 2019 13:31:13 GMT+1000 (AEST), -0.6621463966369628, -1.899350104522705, -9.49974327468872
Tue Jul 23 2019 13:31:13 GMT+1000 (AEST), -0.7073369529724121, -1.810315584155172, -9.455001631164551
Tue Jul 23 2019 13:31:13 GMT+1000 (AEST), -0.5921159980773926, -1.5857096870422362, -9.634267480468749
Tue Jul 23 2019 13:31:13 GMT+1000 (AEST), -0.48078562088012694, -1.5129858116149901, -9.75517466430664
Tue Jul 23 2019 13:31:13 GMT+1000 (AEST), -0.5391442863464355, -1.630301546832174, -9.664793551635741
Tue Jul 23 2019 13:31:13 GMT+1000 (AEST), -0.5574000009398907, -1.7741034301757812, -9.300425986480713
Tue Jul 23 2019 13:31:13 GMT+1000 (AEST), -0.4613327323913574, -1.9063832180298863, -9.535207386779785
Tue Jul 23 2019 13:31:13 GMT+1000 (AEST), -0.42182840499877927, -1.7929577682495117, -9.651176529693602
Tue Jul 23 2019 13:31:13 GMT+1000 (AEST), -0.4032733421325683, -1.7350480155944823, -9.524432894787191
Tue Jul 23 2019 13:31:13 GMT+1000 (AEST), -0.43933600463867184, -1.69674064290151, -9.489268642425536
Tue Jul 23 2019 13:31:13 GMT+1000 (AEST), -0.3555389465332031, -1.6472107421875, -9.60838017501831
Tue Jul 23 2019 13:31:14 GMT+1000 (AEST), -0.3607762626647949, -1.6757915245056152, -9.672574707031249
Tue Jul 23 2019 13:31:14 GMT+1000 (AEST), -0.43065702362060543, -1.6711527587890624, -9.55735375213623
Tue Jul 23 2019 13:31:14 GMT+1000 (AEST), -0.47719431838989257, -1.6482582054138182, -9.463381336975097
Tue Jul 23 2019 13:31:14 GMT+1000 (AEST), -0.4622305945465341, -1.6653168922424315, -9.412354914093017
Tue Jul 23 2019 13:31:14 GMT+1000 (AEST), -0.5017349219391122, -1.7262195431031286, -9.486275890350342
Tue Jul 23 2019 13:31:14 GMT+1000 (AEST), -0.4531026641845703, -1.7519570648193359, -9.60239467086792
