time, lat, long, uncert, speed
Tue Jul 23 2019 14:02:25 GMT+1000 (Australian Eastern Standard Time), -33.8148282, 151.1710199, 65, null
Tue Jul 23 2019 14:02:27 GMT+1000 (Australian Eastern Standard Time), -33.8148282, 151.1710199, 65, null
Tue Jul 23 2019 14:03:20 GMT+1000 (Australian Eastern Standard Time), -33.814866099999996, 151.1710197, 68, null
time, lat, long, uncert, speed
Tue Jul 23 2019 14:10:08 GMT+1000 (Australian Eastern Standard Time), -33.814866099999996, 151.1710197, 68, null
Tue Jul 23 2019 14:10:10 GMT+1000 (Australian Eastern Standard Time), -33.814866099999996, 151.1710197, 68, null
