currentSeg, targetWayPointLat, targetWayPointLong, latitude, longitude, targetBearing, correction, distance
0, -33.80777140379413, 151.15474458453366, -33.8148282, 151.1710199, 0, NaN, 0
0, -33.80777140379413, 151.15474458453366, -33.8148282, 151.1710199, 360, 297.5531091810533, -62, 1697.989364768164
0, -33.80777140379413, 151.15474458453366, -33.814866099999996, 151.1710197, 360, 297.6794706103351, -62, 1699.9286885538836
currentSeg, targetWayPointLat, targetWayPointLong, latitude, longitude, heading, targetBearing, correction, distance
0, -33.80777140379413, 151.15474458453366, -33.814866099999996, 151.1710197, 360, 297.6794706103351, -62, 1699.9286885538836
0, -33.80777140379413, 151.15474458453366, -33.814866099999996, 151.1710197, 360, 297.6794706103351, -62, 1699.9286885538836
