time, lat, long, uncert, speed
Wed Jul 24 2019 13:48:02 GMT+1000 (Australian Eastern Standard Time), -33.8148684, 151.1709697, 67, null
Wed Jul 24 2019 13:48:01 GMT+1000 (Australian Eastern Standard Time), -33.8148684, 151.1709697, 67, null
time, lat, long, uncert, speed
Sun Jul 28 2019 13:32:19 GMT+1000 (Australian Eastern Standard Time), -33.814867848973556, 151.17101930887418, 65, null
Sun Jul 28 2019 13:32:21 GMT+1000 (Australian Eastern Standard Time), -33.81483395517184, 151.17111867430307, 65, null
Sun Jul 28 2019 13:32:21 GMT+1000 (Australian Eastern Standard Time), -33.814830758719246, 151.17112804524612, 65, null
Sun Jul 28 2019 13:32:27 GMT+1000 (Australian Eastern Standard Time), -33.81486773531525, 151.17110452761497, 65, null
Sun Jul 28 2019 13:32:34 GMT+1000 (Australian Eastern Standard Time), -33.814870932754275, 151.17110143204573, 65, null
Sun Jul 28 2019 13:32:40 GMT+1000 (Australian Eastern Standard Time), -33.814871923645505, 151.171104230091, 65, null
time, lat, long, uncert, speed
Sun Jul 28 2019 13:32:47 GMT+1000 (Australian Eastern Standard Time), -33.81483173721485, 151.17112777712836, 65, null
Sun Jul 28 2019 13:32:59 GMT+1000 (Australian Eastern Standard Time), -33.81479902248846, 151.1711716857545, 65, null
Sun Jul 28 2019 13:33:06 GMT+1000 (Australian Eastern Standard Time), -33.814855611874926, 151.1710838019533, 65, null
Sun Jul 28 2019 13:33:12 GMT+1000 (Australian Eastern Standard Time), -33.81489988721675, 151.17103889541983, 65, null
Sun Jul 28 2019 13:33:19 GMT+1000 (Australian Eastern Standard Time), -33.81483415669076, 151.17112489489736, 65, null
Sun Jul 28 2019 13:33:25 GMT+1000 (Australian Eastern Standard Time), -33.81481186160212, 151.17111826180079, 65, null
Sun Jul 28 2019 13:33:32 GMT+1000 (Australian Eastern Standard Time), -33.81486788157728, 151.17110394467716, 65, null
Sun Jul 28 2019 13:33:38 GMT+1000 (Australian Eastern Standard Time), -33.814865748081885, 151.17107273943736, 65, null
Sun Jul 28 2019 13:33:45 GMT+1000 (Australian Eastern Standard Time), -33.81486392340078, 151.17107115360682, 65, null
Sun Jul 28 2019 13:33:52 GMT+1000 (Australian Eastern Standard Time), -33.814863688333126, 151.1710716095184, 65, null
Sun Jul 28 2019 13:33:59 GMT+1000 (Australian Eastern Standard Time), -33.814863300328085, 151.17107344306905, 65, null
Sun Jul 28 2019 13:34:07 GMT+1000 (Australian Eastern Standard Time), -33.814870410092524, 151.17110337654086, 65, null
Sun Jul 28 2019 13:34:22 GMT+1000 (Australian Eastern Standard Time), -33.814870537174016, 151.1711038421845, 65, null
Sun Jul 28 2019 13:34:37 GMT+1000 (Australian Eastern Standard Time), -33.81487055975292, 151.17110392108185, 65, null
Sun Jul 28 2019 13:34:52 GMT+1000 (Australian Eastern Standard Time), -33.81487056531081, 151.17110394050275, 65, null
Sun Jul 28 2019 13:35:07 GMT+1000 (Australian Eastern Standard Time), -33.8148705666789, 151.17110394528325, 65, null
Sun Jul 28 2019 13:35:22 GMT+1000 (Australian Eastern Standard Time), -33.81487056701564, 151.1711039464599, 65, null
Sun Jul 28 2019 13:35:36 GMT+1000 (Australian Eastern Standard Time), -33.814864825834505, 151.17105600037357, 65, null
Sun Jul 28 2019 13:35:43 GMT+1000 (Australian Eastern Standard Time), -33.814860957418524, 151.17103952134818, 65, null
Sun Jul 28 2019 13:35:58 GMT+1000 (Australian Eastern Standard Time), -33.814860768603026, 151.1710398398572, 65, null
Sun Jul 28 2019 13:36:13 GMT+1000 (Australian Eastern Standard Time), -33.81486072212573, 151.1710399182605, 65, null
Sun Jul 28 2019 13:36:28 GMT+1000 (Australian Eastern Standard Time), -33.81486071068515, 151.17103993755987, 65, null
Sun Jul 28 2019 13:36:43 GMT+1000 (Australian Eastern Standard Time), -33.81486070786901, 151.17103994231047, 65, null
Sun Jul 28 2019 13:36:58 GMT+1000 (Australian Eastern Standard Time), -33.81486070717582, 151.17103994347988, 65, null
Sun Jul 28 2019 13:37:13 GMT+1000 (Australian Eastern Standard Time), -33.81486070700519, 151.17103994376777, 65, null
Sun Jul 28 2019 13:37:28 GMT+1000 (Australian Eastern Standard Time), -33.8148607069632, 151.17103994383862, 65, null
Sun Jul 28 2019 13:37:43 GMT+1000 (Australian Eastern Standard Time), -33.81486070695288, 151.17103994385607, 65, null
Sun Jul 28 2019 13:37:58 GMT+1000 (Australian Eastern Standard Time), -33.81486070695035, 151.17103994386042, 65, null
Sun Jul 28 2019 13:38:13 GMT+1000 (Australian Eastern Standard Time), -33.81486070694974, 151.17103994386147, 65, null
Sun Jul 28 2019 13:38:28 GMT+1000 (Australian Eastern Standard Time), -33.814860706949595, 151.17103994386176, 65, null
Sun Jul 28 2019 13:38:43 GMT+1000 (Australian Eastern Standard Time), -33.81486070694957, 151.17103994386187, 65, null
Sun Jul 28 2019 13:38:58 GMT+1000 (Australian Eastern Standard Time), -33.814860706949936, 151.17103994386244, 65, null
Sun Jul 28 2019 13:39:13 GMT+1000 (Australian Eastern Standard Time), -33.814860706950256, 151.17103994386292, 65, null
Sun Jul 28 2019 13:39:28 GMT+1000 (Australian Eastern Standard Time), -33.81486070695035, 151.17103994386306, 65, null
Sun Jul 28 2019 13:39:43 GMT+1000 (Australian Eastern Standard Time), -33.81486070695037, 151.1710399438631, 65, null
Sun Jul 28 2019 13:39:58 GMT+1000 (Australian Eastern Standard Time), -33.814860706950384, 151.1710399438631, 65, null
Sun Jul 28 2019 13:40:13 GMT+1000 (Australian Eastern Standard Time), -33.81486070695039, 151.1710399438631, 65, null
Sun Jul 28 2019 13:40:28 GMT+1000 (Australian Eastern Standard Time), -33.8148607069504, 151.17103994386312, 65, null
Sun Jul 28 2019 13:40:43 GMT+1000 (Australian Eastern Standard Time), -33.814860706950405, 151.17103994386312, 65, null
Sun Jul 28 2019 13:40:58 GMT+1000 (Australian Eastern Standard Time), -33.81486070695069, 151.17103994386358, 65, null
Sun Jul 28 2019 13:41:13 GMT+1000 (Australian Eastern Standard Time), -33.81486070695077, 151.17103994386366, 65, null
Sun Jul 28 2019 13:41:28 GMT+1000 (Australian Eastern Standard Time), -33.81486070695079, 151.17103994386372, 65, null
Sun Jul 28 2019 13:41:43 GMT+1000 (Australian Eastern Standard Time), -33.814860706950796, 151.17103994386372, 65, null
Sun Jul 28 2019 13:41:58 GMT+1000 (Australian Eastern Standard Time), -33.8148607069508, 151.17103994386375, 65, null
Sun Jul 28 2019 13:42:13 GMT+1000 (Australian Eastern Standard Time), -33.81486070695081, 151.17103994386375, 65, null
Sun Jul 28 2019 13:42:28 GMT+1000 (Australian Eastern Standard Time), -33.81486070695081, 151.17103994386375, 65, null
Sun Jul 28 2019 13:42:43 GMT+1000 (Australian Eastern Standard Time), -33.81486070695082, 151.17103994386375, 65, null
Sun Jul 28 2019 13:42:58 GMT+1000 (Australian Eastern Standard Time), -33.814860706950824, 151.17103994386378, 65, null
Sun Jul 28 2019 13:43:13 GMT+1000 (Australian Eastern Standard Time), -33.814860706950824, 151.17103994386378, 65, null
Sun Jul 28 2019 13:43:28 GMT+1000 (Australian Eastern Standard Time), -33.81486070695083, 151.17103994386378, 65, null
Sun Jul 28 2019 13:43:43 GMT+1000 (Australian Eastern Standard Time), -33.81486070695083, 151.17103994386378, 65, null
Sun Jul 28 2019 13:43:58 GMT+1000 (Australian Eastern Standard Time), -33.81486070695083, 151.1710399438638, 65, null
Sun Jul 28 2019 13:44:13 GMT+1000 (Australian Eastern Standard Time), -33.81483850825539, 151.17106950722604, 65, null
time, lat, long, uncert, speed
Sun Jul 28 2019 15:00:42 GMT+1000 (Australian Eastern Standard Time), -33.814867938949455, 151.1711006514558, 65, null
Sun Jul 28 2019 15:00:42 GMT+1000 (Australian Eastern Standard Time), -33.814867938949455, 151.1711006514558, 65, null
time, lat, long, uncert, speed
Sun Jul 28 2019 19:57:49 GMT+1000 (Australian Eastern Standard Time), -33.81488453641843, 151.17105476840538, 65, null
time, lat, long, uncert, speed
Sun Jul 28 2019 20:24:06 GMT+1000 (Australian Eastern Standard Time), -33.814900753708685, 151.17103959061052, 20, null
Sun Jul 28 2019 20:24:07 GMT+1000 (Australian Eastern Standard Time), -33.81487024317066, 151.17109858704072, 65, null
Sun Jul 28 2019 20:24:07 GMT+1000 (Australian Eastern Standard Time), -33.81486974063394, 151.17109946626272, 65, null
time, lat, long, uncert, speed
Sun Jul 28 2019 20:34:48 GMT+1000 (Australian Eastern Standard Time), -33.81484043884612, 151.1709743559991, 200, 4.4400558586603775e-9
Sun Jul 28 2019 20:34:49 GMT+1000 (Australian Eastern Standard Time), -33.81484020757432, 151.1709741686873, 200, 4.726752440974496e-9
Sun Jul 28 2019 20:34:50 GMT+1000 (Australian Eastern Standard Time), -33.81484002449392, 151.1709740204067, 200, 4.954129357768252e-9
Sun Jul 28 2019 20:34:51 GMT+1000 (Australian Eastern Standard Time), -33.81483970127407, 151.17097361215465, 200, 0.000007273965390712168
Sun Jul 28 2019 20:34:52 GMT+1000 (Australian Eastern Standard Time), -33.814839444845404, 151.17097328826515, 200, 0.0001455124255846977
Sun Jul 28 2019 20:34:53 GMT+1000 (Australian Eastern Standard Time), -33.81483924013659, 151.1709730297018, 200, 0.0003990415344121555
Sun Jul 28 2019 20:34:56 GMT+1000 (Australian Eastern Standard Time), -33.81483784175816, 151.17097421398634, 200, 0.008017960807068212
Sun Jul 28 2019 20:34:57 GMT+1000 (Australian Eastern Standard Time), -33.81483692097732, 151.17097759565573, 200, 0.013718151716081208
Sun Jul 28 2019 20:34:58 GMT+1000 (Australian Eastern Standard Time), -33.81483548304204, 151.17098409961378, 200, 0.027222941160074638
Sun Jul 28 2019 20:34:59 GMT+1000 (Australian Eastern Standard Time), -33.81483953252914, 151.17099668016397, 200, 0.053571528247691805
Sun Jul 28 2019 20:35:00 GMT+1000 (Australian Eastern Standard Time), -33.814843500500835, 151.1710060372465, 200, 0.07623196662962527
Sun Jul 28 2019 20:35:01 GMT+1000 (Australian Eastern Standard Time), -33.81484740400192, 151.17101278928936, 200, 0.09362740383738499
Sun Jul 28 2019 20:35:02 GMT+1000 (Australian Eastern Standard Time), -33.8148512538115, 151.1710174251497, 200, 0.10601136095554949
Sun Jul 28 2019 20:35:03 GMT+1000 (Australian Eastern Standard Time), -33.81485505519515, 151.171020348542, 200, 0.11424527814549697
Sun Jul 28 2019 20:35:04 GMT+1000 (Australian Eastern Standard Time), -33.814858813581594, 151.17102189996277, 200, 0.11934169498247162
Sun Jul 28 2019 20:35:10 GMT+1000 (Australian Eastern Standard Time), -33.814888908797634, 151.1710257597485, 200, 0.35840361608241034
Sun Jul 28 2019 20:35:11 GMT+1000 (Australian Eastern Standard Time), -33.81491187063849, 151.17101711857688, 200, 0.3837786346929178
Sun Jul 28 2019 20:35:12 GMT+1000 (Australian Eastern Standard Time), -33.81493853883045, 151.17096076607925, 48, 0.5628241896629333
Sun Jul 28 2019 20:35:13 GMT+1000 (Australian Eastern Standard Time), -33.81495988417408, 151.17094548691892, 48, 0.8500083684921265
Sun Jul 28 2019 20:35:14 GMT+1000 (Australian Eastern Standard Time), -33.81494848386932, 151.17096522511028, 48, 0.8483673930168152
Sun Jul 28 2019 20:35:15 GMT+1000 (Australian Eastern Standard Time), -33.81492779496254, 151.17095572332255, 48, 0.8500083684921265
Sun Jul 28 2019 20:35:16 GMT+1000 (Australian Eastern Standard Time), -33.814912314760655, 151.17096322946398, 32, 0.8398770093917847
Sun Jul 28 2019 20:35:17 GMT+1000 (Australian Eastern Standard Time), -33.81492859703812, 151.17100595099413, 32, 0.8398770093917847
Sun Jul 28 2019 20:35:18 GMT+1000 (Australian Eastern Standard Time), -33.814926070598254, 151.1710284645496, 32, 0.34890982508659363
