time, accX, accY, accZ
Wed Jul 24 2019 13:48:03 GMT+1000 (Australian Eastern Standard Time), , , 
time, accX, accY, accZ
Sun Jul 28 2019 13:32:08 GMT+1000 (AEST), -0.0383072265625, -0.36137477654721584, -9.67856021118164
Sun Jul 28 2019 13:32:08 GMT+1000 (AEST), -0.05057751007080078, -0.35179796990659085, -9.680206224822998
Sun Jul 28 2019 13:32:08 GMT+1000 (AEST), -0.07422025146484375, -0.34237087393496185, -9.654917469787597
Sun Jul 28 2019 13:32:08 GMT+1000 (AEST), -0.07676409986191429, -0.314089330291748, -9.678260935974121
Sun Jul 28 2019 13:32:08 GMT+1000 (AEST), -0.08649052583998999, -0.3176806327819824, -9.643395374298095
Sun Jul 28 2019 13:32:08 GMT+1000 (AEST), -0.07062893984145484, -0.3489548919677734, -9.632621466827391
Sun Jul 28 2019 13:32:08 GMT+1000 (AEST), -0.03800795135498047, -0.37125089492797847, -9.674968908691406
Sun Jul 28 2019 13:32:08 GMT+1000 (AEST), -0.07451952667236328, -0.3151367935180664, -9.684246440124511
Sun Jul 28 2019 13:32:08 GMT+1000 (AEST), -0.07122749938964844, -0.33144729232788084, -9.680804775238036
Sun Jul 28 2019 13:32:08 GMT+1000 (AEST), -0.07586626510620116, -0.3238158110687509, -9.67287398223877
Sun Jul 28 2019 13:32:08 GMT+1000 (AEST), -0.05521627578735351, -0.3462614151000976, -9.664943189239501
Sun Jul 28 2019 13:32:08 GMT+1000 (AEST), -0.05132569808959961, -0.3607762626647949, -9.68514426574707
Sun Jul 28 2019 13:32:08 GMT+1000 (AEST), -0.08259995727539061, -0.3229179489135742, -9.665092826843262
Sun Jul 28 2019 13:32:08 GMT+1000 (AEST), -0.07302315063476562, -0.34267014914248134, -9.645639938354492
Sun Jul 28 2019 13:32:08 GMT+1000 (AEST), -0.062249243164062495, -0.35613746041562405, -9.666439565277098
Sun Jul 28 2019 13:32:08 GMT+1000 (AEST), -0.05476735384291969, -0.3516483688354492, -9.648632690429688
Sun Jul 28 2019 13:32:08 GMT+1000 (AEST), -0.06718728408813476, -0.3323450814178213, -9.676614922332764
Sun Jul 28 2019 13:32:08 GMT+1000 (AEST), -0.06643909606933593, -0.3296516045501455, -9.660603698730467
Sun Jul 28 2019 13:32:08 GMT+1000 (AEST), -0.06569090805053711, -0.3468599655151367, -9.670479780578614
Sun Jul 28 2019 13:32:08 GMT+1000 (AEST), -0.05910685348510742, -0.3598784370422363, -9.670779055786133
Sun Jul 28 2019 13:32:08 GMT+1000 (AEST), -0.06314706878662109, -0.34760815353393554, -9.653870006561279
Sun Jul 28 2019 13:32:08 GMT+1000 (AEST), -0.07137714612656272, -0.3315969299316406, -9.653870006561279
Sun Jul 28 2019 13:32:08 GMT+1000 (AEST), -0.07332242584228515, -0.33922844772338867, -9.699808750915526
Sun Jul 28 2019 13:32:08 GMT+1000 (AEST), -0.06928220140761696, -0.34012627334594725, -9.642497548675536
Sun Jul 28 2019 13:32:08 GMT+1000 (AEST), -0.06688799974746071, -0.3318962051391601, -9.656862758636475
Sun Jul 28 2019 13:32:08 GMT+1000 (AEST), -0.07392096712416969, -0.354940396118164, -9.686042091369629
