time, lat, long, uncert, speed
Tue Jul 23 2019 14:14:45 GMT+1000 (Australian Eastern Standard Time), -33.81488817273694, 151.17108518757107, 65, null
Tue Jul 23 2019 14:14:45 GMT+1000 (Australian Eastern Standard Time), -33.81488817273694, 151.17108518757107, 65, null
Tue Jul 23 2019 14:14:45 GMT+1000 (Australian Eastern Standard Time), -33.81486532531513, 151.1711111732344, 423.8991449684135, null
Tue Jul 23 2019 14:14:46 GMT+1000 (Australian Eastern Standard Time), -33.814865329800234, 151.17111116813325, 423.8991315917405, null
Tue Jul 23 2019 14:14:47 GMT+1000 (Australian Eastern Standard Time), -33.814871412869216, 151.17112201794467, 65, null
Tue Jul 23 2019 14:14:48 GMT+1000 (Australian Eastern Standard Time), -33.81486929198025, 151.17112489755493, 65, null
Tue Jul 23 2019 14:14:48 GMT+1000 (Australian Eastern Standard Time), -33.81487351750692, 151.17109269271336, 65, null
Tue Jul 23 2019 14:14:51 GMT+1000 (Australian Eastern Standard Time), -33.814985343031346, 151.17119172394607, 16, 1.132224202156067
Tue Jul 23 2019 14:14:52 GMT+1000 (Australian Eastern Standard Time), -33.81497516220672, 151.1711912666987, 32, null
