time, lat, long, uncert, speed
Tue Jul 23 2019 13:26:32 GMT+1000 (Australian Eastern Standard Time), -33.814873144326555, 151.17110606623692, 12, 0.544055163860321
Tue Jul 23 2019 13:26:32 GMT+1000 (Australian Eastern Standard Time), -33.814873144326555, 151.17110606623692, 12, 0.544055163860321
Tue Jul 23 2019 13:26:32 GMT+1000 (Australian Eastern Standard Time), -33.814912172781796, 151.17041564990976, 1130.5952362111211, null
Tue Jul 23 2019 13:26:32 GMT+1000 (Australian Eastern Standard Time), -33.814935982631646, 151.1699944518641, 1130.5952419126309, null
Tue Jul 23 2019 13:26:33 GMT+1000 (Australian Eastern Standard Time), -33.814874127786965, 151.17112334011813, 65, null
Tue Jul 23 2019 13:26:37 GMT+1000 (Australian Eastern Standard Time), -33.81487368392992, 151.17112174817922, 65, null
Tue Jul 23 2019 13:26:37 GMT+1000 (Australian Eastern Standard Time), -33.814877726330295, 151.17108992630534, 65, null
Tue Jul 23 2019 13:26:49 GMT+1000 (Australian Eastern Standard Time), -33.81483747461654, 151.17118010036071, 65, null
Tue Jul 23 2019 13:26:50 GMT+1000 (Australian Eastern Standard Time), -33.81484488557801, 151.17116523933123, 65, null
Tue Jul 23 2019 13:26:50 GMT+1000 (Australian Eastern Standard Time), -33.814826438642584, 151.17112956884603, 4, 0.11991539597511292
Tue Jul 23 2019 13:26:51 GMT+1000 (Australian Eastern Standard Time), -33.814828873447944, 151.17112993545106, 32, 0.3296292722225189
Tue Jul 23 2019 13:26:51 GMT+1000 (Australian Eastern Standard Time), -33.814831111551975, 151.1711322821169, 48, 0.290822833776474
Tue Jul 23 2019 13:26:52 GMT+1000 (Australian Eastern Standard Time), -33.81483498647144, 151.17113865024788, 48, 0.3296292722225189
Tue Jul 23 2019 13:26:53 GMT+1000 (Australian Eastern Standard Time), -33.814834914481004, 151.17114547953716, 96, 0.60109943151474
Tue Jul 23 2019 13:26:54 GMT+1000 (Australian Eastern Standard Time), -33.814835225820566, 151.1711515108195, 32, 0.60109943151474
Tue Jul 23 2019 13:26:54 GMT+1000 (Australian Eastern Standard Time), -33.81483555267569, 151.17115867163636, 32, 0.60109943151474
Tue Jul 23 2019 13:26:55 GMT+1000 (Australian Eastern Standard Time), -33.8148373513955, 151.17116170064264, 32, 0.4334067106246948
Tue Jul 23 2019 13:26:55 GMT+1000 (Australian Eastern Standard Time), -33.814838669992106, 151.1711658338748, 32, 0.4334067106246948
Tue Jul 23 2019 13:26:56 GMT+1000 (Australian Eastern Standard Time), -33.81494978222668, 151.17124997608303, 48, 0.14427264034748077
Tue Jul 23 2019 13:26:57 GMT+1000 (Australian Eastern Standard Time), -33.814956996924444, 151.17127360107463, 48, 0.3558085262775421
