time, lat, long, uncert, speed
Tue Jul 23 2019 13:31:01 GMT+1000 (Australian Eastern Standard Time), -33.814947348687994, 151.17117679430172, 16, 0.0008329019765369594
Tue Jul 23 2019 13:31:01 GMT+1000 (Australian Eastern Standard Time), -33.814947348687994, 151.17117679430172, 16, 0.0008329019765369594
Tue Jul 23 2019 13:31:01 GMT+1000 (Australian Eastern Standard Time), -33.81494734868799, 151.17117679430166, 69.00549344622677, null
Tue Jul 23 2019 13:31:01 GMT+1000 (Australian Eastern Standard Time), -33.81494734868799, 151.17117679430166, 69.00551108609828, null
Tue Jul 23 2019 13:31:01 GMT+1000 (Australian Eastern Standard Time), -33.814880196526545, 151.1711284144853, 65, null
Tue Jul 23 2019 13:31:03 GMT+1000 (Australian Eastern Standard Time), -33.81487454159783, 151.1711251968029, 65, null
Tue Jul 23 2019 13:31:03 GMT+1000 (Australian Eastern Standard Time), -33.81486605817472, 151.1710648864697, 65, null
