time, accX, accY, accZ
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -2.1097405754089356, -4.074183329828084, -8.745120838928223
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -2.298583377484232, -4.245218818664551, -8.603862356457114
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -2.19623111038208, -4.26781380457133, -8.945485590362548
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -2.2215200115479528, -4.390068019104004, -9.1676974319458
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -2.1754314834594726, -4.305522772979736, -8.567051505932211
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -2.3621790668211875, -4.1748891448974605, -9.945962024578451
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -2.661604058074951, -3.8844422637388107, -9.657011811718345
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -2.8637641684934496, -3.6119524795532225, -9.48702407836914
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -3.561374677221477, -3.350535293523967, -9.775974291229247
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -3.8687306076049803, -4.6115319649294015, -11.367070932006834
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -4.209455431365966, -3.841197580774128, -11.517456723785399
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -3.2124200775146483, -4.700865029852092, -8.317905480194092
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -3.5871126373291014, -3.849128081512451, -6.663512717548012
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -4.905120651245117, -2.385971591949463, -5.1131169204711915
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -5.986551613616943, -1.6482582054138182, -6.223727215576171
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -5.711667335510254, -1.477970612335205, -6.4549173133850095
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -5.036053554534912, -1.078587994030863, -6.021866088104248
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -4.907813543590903, -1.3853449356079102, -6.668151483264565
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -5.652111569213867, -1.4905401710510253, -9.367762908172606
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -5.1343654602050774, -1.549497386932373, -7.57809658268392
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -5.457433046722412, -1.5795746914185582, -9.304915114593506
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -5.128679231262207, -1.5691000591553748, -8.444947805786132
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -4.5404538108825685, -1.4698901817321777, -6.613533173370361
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -4.891204354095459, -1.7341501899719238, -6.347327876281738
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -5.298667549133301, -2.0232500404357907, -5.3499932472229
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -6.659621555328369, -3.0119056884765625, -5.112967282867431
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -5.672611920928955, -3.4796728378295896, -9.051877926635742
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -5.086780702209472, -3.61988327255249, -9.503184939575196
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -4.181323561859131, -2.013523888452351, -8.653093712615966
Tue Jul 23 2019 13:31:00 GMT+1000 (AEST), -5.135263285827636, -2.3129481490537525, -7.296329559326171
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), -5.471648619079589, -2.6780641944885253, -7.09895755996704
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), -4.812494974517822, -2.4064719436645507, -7.876324911499023
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), -5.26095887298584, -2.834734765625, -7.116614797210693
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), -4.965873518371581, -2.648286311340332, -7.666981319317221
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), -4.94791700592041, -3.264942876434326, -7.974636232647299
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), -4.924423902130127, -2.3600842864990232, -8.285583757781982
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), -4.971859022521972, -2.1920415497377514, -8.22258632659912
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), -4.984578218841553, -2.7111341049194335, -8.169913890075684
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), -4.932953245544433, -2.526181734411418, -8.393771745300292
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), -4.8605292298465965, -2.4832363266542554, -8.186523664093016
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), -4.884321024322509, -2.5661352668762207, -8.122628407287598
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), -4.7466544288635255, -2.6575638427734374, -8.053795109558106
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), -4.659715565600991, -2.701258023071289, -7.8255977638244625
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), -4.665700485229492, -2.740762350463867, -8.15345375366211
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), -4.732439441028237, -2.87932677154541, -7.808987989807129
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), -4.644901150567829, -2.7162220757082105, -8.113350875854492
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), -4.677821131134033, -2.6186577735349537, -8.084321180725096
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), -4.656572591400146, -2.6816557892397044, -8.016535346221923
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), -4.694430905151367, -2.690334477996826, -8.072200534820556
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), -4.693233804321289, -2.662950796508789, -8.01234549331665
Tue Jul 23 2019 13:31:01 GMT+1000 (AEST), -4.668094979150593, -2.6822543396547434, -7.9481509613037105
